Roll_No,Name,Year,Branch,Division,UserName,Password,City
8,BKW,1st,AI,A,1st_AI_8,1st_AI_8,Dharangaon
9,KAC,1st,AI,A,1st_AI_9,1st_AI_9,Shindkheda
10,MNO,1st,AI,A,1st_AI_10,1st_AI_10,Dhule
11,RHI,1st,AI,A,1st_AI_11,1st_AI_11,Dhule
12,DHB,1st,AI,A,1st_AI_12,1st_AI_12,Dharangaon
13,RPD,1st,AI,A,1st_AI_13,1st_AI_13,Shindkheda
14,ADY,1st,AI,A,1st_AI_14,1st_AI_14,Amalner
15,QJQ,1st,AI,A,1st_AI_15,1st_AI_15,Dhule
16,RJA,1st,AI,A,1st_AI_16,1st_AI_16,Pachora
17,WMH,1st,AI,A,1st_AI_17,1st_AI_17,Pachora
18,MXN,1st,AI,A,1st_AI_18,1st_AI_18,Amalner
19,CPJ,1st,AI,A,1st_AI_19,1st_AI_19,Chalisgaon
20,AVL,1st,AI,A,1st_AI_20,1st_AI_20,Pachora
21,FBW,1st,AI,A,1st_AI_21,1st_AI_21,Amalner
22,ZIC,1st,AI,A,1st_AI_22,1st_AI_22,Chalisgaon
23,BFO,1st,AI,A,1st_AI_23,1st_AI_23,Chalisgaon
24,EDC,1st,AI,A,1st_AI_24,1st_AI_24,Chalisgaon
25,YSX,1st,AI,A,1st_AI_25,1st_AI_25,Pune
26,HXH,1st,AI,A,1st_AI_26,1st_AI_26,Dhule
27,DKZ,1st,AI,A,1st_AI_27,1st_AI_27,Chalisgaon
28,LXY,1st,AI,A,1st_AI_28,1st_AI_28,Dhule
29,JPN,1st,AI,A,1st_AI_29,1st_AI_29,Shirpur
30,WWJ,1st,AI,A,1st_AI_30,1st_AI_30,Dhule
31,JLG,1st,AI,A,1st_AI_31,1st_AI_31,Chopda
32,QCH,1st,AI,A,1st_AI_32,1st_AI_32,Shindkheda
33,VIX,1st,AI,A,1st_AI_33,1st_AI_33,Dharangaon
34,AIH,1st,AI,A,1st_AI_34,1st_AI_34,Pune
35,JXT,1st,AI,A,1st_AI_35,1st_AI_35,Bhadgaon
36,FNI,1st,AI,A,1st_AI_36,1st_AI_36,Parola
37,IQA,1st,AI,A,1st_AI_37,1st_AI_37,Amalner
38,FOU,1st,AI,A,1st_AI_38,1st_AI_38,Chalisgaon
39,CAI,1st,AI,A,1st_AI_39,1st_AI_39,Chopda
40,FNI,1st,AI,A,1st_AI_40,1st_AI_40,Shindkheda
41,PZW,1st,AI,A,1st_AI_41,1st_AI_41,Shirpur
42,OZI,1st,AI,A,1st_AI_42,1st_AI_42,Shindkheda
43,ZKZ,1st,AI,A,1st_AI_43,1st_AI_43,Parola
44,BTH,1st,AI,A,1st_AI_44,1st_AI_44,Shindkheda
45,UJE,1st,AI,A,1st_AI_45,1st_AI_45,Bhadgaon
46,UPG,1st,AI,A,1st_AI_46,1st_AI_46,Dharangaon
47,DRK,1st,AI,A,1st_AI_47,1st_AI_47,Chopda
48,DAI,1st,AI,A,1st_AI_48,1st_AI_48,Pachora
49,CBN,1st,AI,A,1st_AI_49,1st_AI_49,Chalisgaon
50,JVH,1st,AI,A,1st_AI_50,1st_AI_50,Pachora
51,QXE,1st,AI,A,1st_AI_51,1st_AI_51,Chopda
52,FFO,1st,AI,A,1st_AI_52,1st_AI_52,Dhule
53,OUU,1st,AI,A,1st_AI_53,1st_AI_53,Shindkheda
54,SBD,1st,AI,A,1st_AI_54,1st_AI_54,Chalisgaon
55,ZXH,1st,AI,A,1st_AI_55,1st_AI_55,Parola
56,KAZ,1st,AI,A,1st_AI_56,1st_AI_56,Pachora
57,STE,1st,AI,A,1st_AI_57,1st_AI_57,Dhule
58,QJE,1st,AI,A,1st_AI_58,1st_AI_58,Bhadgaon
59,FOH,1st,AI,A,1st_AI_59,1st_AI_59,Pachora
60,GYW,1st,AI,A,1st_AI_60,1st_AI_60,Parola
